"","county","pct_lt17","pct_gt65","unemp_rate","density","median_income","povery_rate","fips","is_rural","state","total_pop","long_trip","cases","deaths","in_poverty","unemployed"
"76","Franklin",23.14,24.6,4.6,37.29,50630,14.4,"48159",1,"TX",10725,27293,77,0,1544,493
"77","Freestone",22.68,22.68,6.3,22.58,52511,15.5,"48161",1,"TX",19717,34640,14,0,3056,1242
"78","Frio",23.26,13.64,3.8,15.19,40360,27.7,"48163",1,"TX",20306,22329,150,0,5624,771
"79","Gaines",36.12,9.93,3,11.67,67171,13.2,"48165",1,"TX",21492,38054,10,1,2836,644
"80","Galveston",24.05,16.45,5.2,769.93,73214,11.3,"48167",0,"TX",342139,246552,686,19,38661,17791
"81","Garza",16.73,12.94,3.3,7.23,48975,24.2,"48169",1,"TX",6229,8176,65,0,1507,205
"82","Gillespie",19.74,34.26,2.6,23.47,62143,8.5,"48171",1,"TX",26988,19938,38,1,2293,701
"83","Glasscock",25.41,16.32,2.6,1.36,93759,7.9,"48173",1,"TX",1409,2015,1,0,111,36
"84","Goliad",20.72,27.09,4.9,8.46,56758,13.4,"48175",1,"TX",7658,12705,10,2,1026,375
"85","Gonzales",26.71,19.05,3.5,18.57,48425,16.2,"48177",1,"TX",20837,30079,38,1,3375,729
"86","Gray",25.32,18.25,5.3,24.34,52543,14.5,"48179",1,"TX",21886,17145,195,0,3173,1159
"87","Grayson",23.66,19.74,3.5,129.58,57439,11.6,"48181",0,"TX",136212,108276,26,4,15800,4767
"88","Gregg",25.71,17.82,5.1,445.4,53137,16.5,"48183",0,"TX",123945,168682,128,4,20450,6321
"89","Grimes",22.1,19.64,5.3,33.78,51651,15.9,"48185",1,"TX",28880,43828,63,3,4591,1530
"90","Guadalupe",24.73,15.66,3.3,184.92,78801,7.4,"48187",0,"TX",166847,155236,485,6,12346,5505
"91","Hale",26.79,15.55,5.1,36.1,49187,17.9,"48189",1,"TX",33406,72298,39,0,5979,1703
"92","Hall",22.13,27.13,6.2,3.8,35940,25.4,"48191",1,"TX",2964,10962,10,0,752,183
"93","Hamilton",21.74,29.39,3.9,10.19,52505,14.3,"48193",1,"TX",8461,14807,11,0,1209,329
"94","Hansford",29.69,17.47,2.5,6.1,58703,11.7,"48195",1,"TX",5399,8956,27,0,631,134
"95","Hardeman",21.51,26.27,3.9,5.95,40057,19.2,"48197",1,"TX",3933,7894,4,0,755,153
"96","Hardin",24.4,18.79,6.1,61.35,62616,12.1,"48199",0,"TX",57602,61065,186,2,6969,3513
"97","Harris",26.43,12.03,5,2402.41,61638,15,"48201",0,"TX",4713325,3574739,2989,141,706998,235666
"98","Harrison",24.92,19.36,5.2,72.93,55171,17.8,"48203",0,"TX",66553,102523,538,2,11846,3460
"99","Hartley",20.88,17.79,2,4.15,72796,8.6,"48205",1,"TX",5576,10122,11,0,479,111
"100","Haskell",16.9,25.65,4.7,6.53,38613,20.7,"48207",1,"TX",5658,9821,14,0,1171,265
"101","Hays",22.86,12.33,3.1,231.73,72890,11.2,"48209",0,"TX",230191,151815,289,14,25781,7135
"102","Hemphill",30.19,18.04,2.5,4.2,71299,9.1,"48211",1,"TX",3819,11150,3,1,347,95
"103","Henderson",21.27,24.7,4.2,89.88,49896,17.5,"48213",1,"TX",82737,136554,77,3,14478,3474
"104","Hidalgo",32.13,12.74,7.4,493.21,41656,26.9,"48215",0,"TX",868707,1201627,1765,29,233682,64284
"105","Hill",23.14,23.45,3.9,36.59,53210,13.1,"48217",1,"TX",36649,79749,37,1,4801,1429
"106","Hockley",25.68,16.77,3.7,25.25,51149,15.5,"48219",1,"TX",23021,29305,264,1,3568,851
"107","Hood",21.08,27.75,4.2,121.68,74534,9.2,"48221",1,"TX",61643,52788,55,4,5671,2589
"108","Hopkins",24.16,20.67,3.6,45.83,50332,14.7,"48223",1,"TX",37084,58174,261,2,5451,1335
"109","Houston",19.77,25.4,4.2,19.28,43601,20.9,"48225",1,"TX",22968,46722,219,3,4800,964
"110","Howard",21.85,14.86,4.3,38.87,61112,17,"48227",1,"TX",36664,62785,28,1,6232,1576
"111","Hudspeth",20.81,17.76,6,0.76,39309,28,"48229",1,"TX",4886,16552,4,0,1368,293
"112","Hunt",23.83,17.71,3.9,102.5,57513,14.8,"48231",1,"TX",98594,104254,158,6,14591,3845
"113","Hutchinson",25.35,19.26,6,24.96,57936,11.4,"48233",1,"TX",20938,16406,358,1,2386,1256
"114","Irion",22.53,23.82,3,1.52,68630,7.4,"48235",1,"TX",1536,3056,3,0,113,46
"115","Jack",21.71,18.62,3.7,9.93,55358,15.6,"48237",1,"TX",8935,14870,20,0,1393,330
"116","Jackson",25.38,20.96,4,16.97,55800,13.8,"48239",1,"TX",14760,27245,18,0,2036,590
"117","Jasper",23.75,22.29,7.4,38.04,47252,19.5,"48241",1,"TX",35529,56600,49,1,6928,2629
"118","Jefferson",24.06,16.92,7.3,287.89,55173,16.9,"48245",0,"TX",251565,233348,644,8,42514,18364
"119","Johnson",25.93,15.6,3.8,208.27,66538,11,"48251",0,"TX",175817,164382,207,6,19339,6681
"120","Jones",17.34,17.97,5.3,21.76,51094,20.4,"48253",1,"TX",20083,41804,16,0,4096,1064
"121","Karnes",21.27,16.18,3.5,19.83,54843,21,"48255",1,"TX",15601,27644,113,0,3276,546
"122","Kaufman",27.91,12.89,3.5,132.38,75009,9.8,"48257",0,"TX",136154,186904,279,6,13343,4765
"123","Kendall",23.12,21.64,3.1,50.43,94899,7.4,"48259",0,"TX",47431,41823,38,0,3509,1470
"124","Kerr",18.94,31.66,3.4,44.98,57789,12.5,"48265",1,"TX",52600,44025,58,4,6575,1788
"125","Kimble",18.03,32.67,3.5,3.68,44757,17,"48267",1,"TX",4337,8087,10,1,737,151
"126","Kinney",19.17,28.09,5.5,2.65,47076,18.9,"48271",1,"TX",3667,5528,5,0,693,201
"127","Kleberg",23.92,14.77,5.9,36.38,47169,23.3,"48273",1,"TX",30680,41890,35,1,7148,1810
"128","Knox",26.06,22.63,4,4.37,40808,19.1,"48275",1,"TX",3664,10395,1,0,699,146
"129","Lamar",23.61,21.94,4.2,54.89,47061,18.4,"48277",1,"TX",49859,78087,78,1,9174,2094
"130","Lamb",27.53,20,5.2,13.75,42719,18.5,"48279",1,"TX",12893,20232,146,0,2385,670
"131","Lampasas",21.6,22.33,3.7,27.6,58817,12.4,"48281",0,"TX",21428,29269,21,0,2657,792
"132","Lavaca",23.26,27.34,3.6,19.86,52632,11,"48285",1,"TX",20154,27977,42,0,2216,725
"133","Lee",21.74,20.62,3.3,26.41,59250,10.7,"48287",1,"TX",17239,28166,25,0,1844,568
"134","Leon",22.35,27.46,6.3,15.66,50522,14.4,"48289",1,"TX",17404,35411,6,0,2506,1096
"135","Liberty",27.04,14.09,7.1,65.3,53274,14.4,"48291",1,"TX",88219,88912,181,8,12703,6263
"136","Limestone",22.02,22.17,5.5,25.83,43644,19.2,"48293",1,"TX",23437,45422,17,0,4499,1289
"137","Lipscomb",25.33,22.08,3.2,3.54,65388,12.4,"48295",1,"TX",3233,9880,1,0,400,103
"138","Llano",15.12,42,3.7,20.66,55617,10.8,"48299",1,"TX",21795,29235,26,2,2353,806
"139","Lubbock",23.67,14.24,3.2,311.33,54733,17.9,"48303",0,"TX",310569,396930,169,7,55591,9938
"140","Lynn",27.26,18.24,3.8,6.63,45737,16,"48305",1,"TX",5951,9174,4,1,952,226
"141","Madison",21.24,17.77,4.6,29.32,46274,17.8,"48313",1,"TX",14284,35954,10,1,2542,657
"142","Marion",18.08,30.08,5.7,27.69,37876,21.4,"48315",1,"TX",9854,15517,75,0,2108,561
"143","Martin",31.35,12.74,3.2,5.25,68745,12.1,"48317",1,"TX",5771,10424,14,0,698,184
"144","Mason",20.19,32.57,3.3,4.32,54914,11.7,"48319",1,"TX",4274,5147,3,0,500,141
"145","Matagorda",25.56,19.38,7.2,33.36,49276,17.5,"48321",1,"TX",36643,45786,62,0,6412,2638
"146","Maverick",30.95,13.21,9.3,42.41,40017,26.9,"48323",1,"TX",58722,166457,752,4,15796,5461
"147","McCulloch",22.13,25.45,3.6,7.77,43262,17.6,"48307",1,"TX",7984,16510,8,1,1405,287
"148","McLennan",24.52,16.67,3.8,226.5,51078,18,"48309",0,"TX",256623,380994,298,3,46192,9751
"149","Medina",22.89,18.89,3.8,34.71,60695,12.2,"48325",1,"TX",51584,74547,505,2,6293,1960
"150","Menard",18.05,37.69,4.8,2.49,38425,20.7,"48327",1,"TX",2138,4369,2,0,442,102
"151","Midland",28.56,11.97,3,152.03,85811,9.9,"48329",0,"TX",176832,352573,103,2,17506,5304
"152","Milam",23.76,23.91,5,24.34,48989,16.3,"48331",1,"TX",24823,29499,28,0,4046,1241
"153","Mills",20.42,33.23,3.5,6.6,46876,13.2,"48333",1,"TX",4873,8937,1,0,643,170
"154","Mitchell",20.63,16.38,5.5,10.32,44457,19.5,"48335",1,"TX",8545,17086,3,0,1666,469
"155","Montague",22.45,25.03,4,21.18,53649,12.9,"48337",1,"TX",19818,20565,21,1,2556,792
"156","Montgomery",26.09,14.66,4.3,437.49,88833,8.9,"48339",0,"TX",607391,564594,1195,13,54057,26117
"157","Moore",31.76,12.71,2.9,24.35,55099,11.9,"48341",1,"TX",20940,40203,16,0,2491,607
"158","Morris",23.06,24.62,8.6,51.33,43304,18.1,"48343",1,"TX",12388,21397,67,1,2242,1065
"159","Motley",19.75,34.59,3.7,1.22,40217,17.6,"48345",1,"TX",1200,878,2,0,211,44
"160","Nacogdoches",23.01,17.03,4.3,68.17,46207,20.9,"48347",1,"TX",65204,137961,569,2,13627,2803
"161","Navarro",26.41,19.25,3.9,47.28,48649,13.4,"48349",1,"TX",50113,84277,72,0,6715,1954
"162","Newton",19.61,23.48,7.9,15.47,45890,22.8,"48351",1,"TX",13595,21135,11,0,3099,1074
"163","Nolan",26.02,20.98,4.1,16.68,46389,17.5,"48353",1,"TX",14714,22821,3,1,2574,603
"164","Nueces",24.31,16.71,5.4,405.76,56079,16.5,"48355",0,"TX",362294,421767,569,16,59778,19563
"165","Ochiltree",31.02,12.86,3.7,11.14,62567,11.4,"48357",1,"TX",9836,26213,21,0,1121,363
"166","Oldham",23.39,16.29,2.5,1.37,59404,13.1,"48359",1,"TX",2112,2103,4,0,276,52
"167","Orange",24.76,18.3,6.9,245.26,62976,12.5,"48361",0,"TX",83396,71020,127,5,10424,5754
"168","Panola",23.29,21.72,5.5,29.68,56882,14.3,"48365",1,"TX",23194,56996,220,0,3316,1275
"169","Parker",24.73,17.15,3.5,129.42,82501,8.2,"48367",0,"TX",142878,173160,293,5,11715,5000
"170","Parmer",28.21,16.01,2.5,11.66,50607,11.8,"48369",1,"TX",9605,16511,35,0,1133,240
"171","Pecos",24.53,14.96,4.5,3.26,52763,18.7,"48371",1,"TX",15823,50223,26,1,2958,712
"172","Polk",19.87,19.99,6,42.96,50416,16.7,"48373",1,"TX",51353,80078,52,0,8575,3081
"173","Potter",27.27,14.65,3.2,133.29,41138,20.3,"48375",0,"TX",117415,163318,133,4,23835,3757
"174","Presidio",26.83,28.12,9.4,2.03,33499,19.2,"48377",1,"TX",6704,7521,2,1,1287,630
"175","Rains",20.18,26.98,3.5,47.57,65657,13.4,"48379",1,"TX",12514,21411,3,1,1676,437
"176","Randall",23.9,17.21,2.8,132.44,70694,9,"48381",0,"TX",137713,204885,167,6,12394,3855
"177","Reagan",28.97,12.23,3.8,2.86,67384,8.9,"48383",1,"TX",3849,10494,4,0,342,146
"178","Real",16.43,33.11,5.7,4.73,40834,17.7,"48385",1,"TX",3452,4910,5,1,611,196
"179","Reeves",22.41,13.31,3.5,5.23,48990,22.1,"48389",1,"TX",15976,52818,274,1,3530,559
"180","Refugio",22.06,25.95,5.8,9.58,46883,18,"48391",1,"TX",6948,10029,8,0,1250,402
"181","Roberts",23.19,24.24,3.7,1.01,70705,7.4,"48393",1,"TX",854,1351,1,0,63,31
"182","Robertson",23.43,22.45,4.7,19.43,47016,20.7,"48395",1,"TX",17074,47356,55,4,3534,802
"183","Rockwall",26.63,14.09,3.3,616.65,105763,4.8,"48397",0,"TX",104915,84134,207,1,5035,3462
"184","Runnels",23.18,23.75,3.8,9.99,48650,17.2,"48399",1,"TX",10264,21848,12,2,1765,390
"185","Rusk",22.1,18.93,5.1,57.71,56036,15.4,"48401",0,"TX",54406,94928,408,1,8378,2774
"186","Sabine",18.08,34.48,8.6,22.05,43778,17.6,"48403",1,"TX",10542,20578,1,0,1855,906
"187","Schleicher",23.88,21.44,3.7,2.64,53286,15,"48413",1,"TX",2793,7037,1,0,418,103
"188","Scurry",24.8,17.58,4.4,18.69,56299,14.7,"48415",1,"TX",16703,34115,11,0,2455,734
"189","Shackelford",22.85,23.67,3,3.69,65095,12.7,"48417",1,"TX",3265,4929,0,0,414,97
"190","Shelby",25.97,19.92,5.1,31.99,39708,21.4,"48419",1,"TX",25274,56282,218,3,5408,1288
"191","Sherman",26.74,17.44,3.1,3.29,55473,11.1,"48421",1,"TX",3022,3568,0,0,335,93
"192","Smith",24.39,18.98,4.1,227.59,59538,12.9,"48423",0,"TX",232751,368693,240,5,30024,9542
"193","Somervell",21.95,21.82,4.5,45.53,67897,9.4,"48425",1,"TX",9128,9169,4,0,858,410
"194","Starr",32.64,12.66,11.7,49.84,32516,32.5,"48427",1,"TX",64633,111051,92,6,21005,7562
"195","Stephens",21.96,22.91,4.7,10.74,46658,17,"48429",1,"TX",9366,17864,4,1,1592,440
"196","Sterling",28.51,17.12,3.8,1.24,66790,10.7,"48431",1,"TX",1291,2889,1,0,138,49
"197","Stonewall",22.44,31.85,3.4,1.63,48267,15.1,"48433",1,"TX",1350,1569,1,0,203,45
"198","Sutton",23.57,21.64,5.1,2.84,63427,13.1,"48435",1,"TX",3776,12352,6,0,494,192
"199","Swisher",24.66,20.26,4.1,8.82,44388,20.6,"48437",1,"TX",7397,8345,13,0,1523,303
"200","Tarrant",26.03,12.87,3.7,2094.74,70130,10.2,"48439",0,"TX",2102515,1749249,2797,60,214456,77793
"201","Taylor",24.81,16.6,3.5,143.64,54465,14,"48441",0,"TX",138034,194978,111,4,19324,4831
"202","Terry",27.22,16.9,5,14.23,42953,21.6,"48445",1,"TX",12337,23792,7,1,2664,616
"203","Throckmorton",19.25,34.11,4.3,1.8,42746,13.9,"48447",1,"TX",1501,2223,0,0,208,64
"204","Titus",28.68,16.44,5.3,79.63,49924,16.3,"48449",1,"TX",32750,64807,363,0,5338,1735
"205","Travis",21.22,11.21,3,1034.4,80690,10.8,"48453",0,"TX",1273954,718202,984,13,137587,38218
"206","Trinity",19.71,29.51,5.5,21.03,43788,17.9,"48455",1,"TX",14651,26091,70,3,2622,805
"207","Tyler",19.26,25.21,7.3,23.54,48254,17.2,"48457",1,"TX",21672,36170,62,0,3727,1582
"208","Upshur",23.79,20.72,5.2,67.43,53078,14.9,"48459",0,"TX",41753,72521,220,2,6221,2171
"209","Upton",28.63,16.84,3.8,2.7,58908,13.8,"48461",1,"TX",3657,7500,2,0,504,138
"210","Uvalde",26.81,19.31,4.7,17.01,44690,19.8,"48463",1,"TX",26741,33865,48,1,5294,1256
"211","Victoria",25.25,18.69,4.8,98.39,57344,14.3,"48469",0,"TX",92084,133575,143,9,13168,4420
"212","Walker",14.7,15.22,4.6,86.54,47519,21.4,"48471",1,"TX",72971,92818,112,2,15615,3356
"213","Waller",24.12,13.04,4.9,84.15,61822,13.2,"48473",0,"TX",55246,72533,69,2,7292,2707
"214","Ward",28.84,15.58,4.1,12.75,61396,12.4,"48475",1,"TX",11998,28681,11,0,1487,491
"215","Washington",21.36,25.51,4.2,55.83,59039,10.6,"48477",1,"TX",35882,48901,143,0,3803,1507
"216","Webb",32.41,10.85,4.2,74.46,52576,20.9,"48479",0,"TX",276652,1124547,2629,3,57820,11619
"217","Wharton",25.78,19.66,4.5,38.01,49901,16.4,"48481",1,"TX",41556,42533,81,1,6815,1870
"218","Wheeler",25.4,21.92,4.1,5.92,58544,11.6,"48483",1,"TX",5056,16230,7,1,586,207
"219","Wichita",22.53,17.14,3.7,209.47,51535,13.9,"48485",0,"TX",132230,188004,81,4,18379,4892
"220","Wilbarger",22.09,21.48,4.7,13.94,42570,14.9,"48487",1,"TX",12769,24488,7,0,1902,600
"221","Willacy",23.48,16.19,11,37.48,35821,30.5,"48489",1,"TX",21358,33590,109,3,6514,2349
"222","Williamson",25.22,13.58,3.2,377.96,92661,5.4,"48491",0,"TX",590551,439344,516,7,31889,18897
"223","Wilson",23.81,18.28,3.5,53.4,76905,8.3,"48493",1,"TX",51070,76841,102,0,4238,1787
"224","Winkler",29.08,13.23,5.2,8.45,64894,12.5,"48495",1,"TX",8010,18521,13,0,1001,416
"225","Wise",24.69,16.47,4,65.38,70468,8.3,"48497",1,"TX",69984,86127,128,4,5808,2799
"226","Wood",18.86,30.31,4.7,65.04,56945,14.3,"48499",1,"TX",45539,110599,50,0,6512,2140
"227","Yoakum",32.7,13.19,3.5,9.85,62636,10.6,"48501",1,"TX",8713,16746,3,1,923,304
"228","Young",23.66,23.78,3.8,20.29,52643,13.6,"48503",1,"TX",18010,28954,12,0,2449,684
"229","Zapata",33.06,14.63,7.3,14.04,36069,30.1,"48505",1,"TX",14179,28569,21,0,4267,1035
"230","Zavala",28.39,16.24,11.1,9,32538,29.6,"48507",1,"TX",11840,16235,15,0,3504,1314
