"","county","long_trip","cases","deaths","median_income","total_pop","is_rural","unemployed","density","lt17","gt65","in_poverty"
"174","Presidio",7521,2,1,33499,6704,1,630,2.03,1798,1885,1287
"175","Rains",21411,3,1,65657,12514,1,437,47.57,2525,3376,1676
"176","Randall",204885,167,6,70694,137713,0,3855,132.44,32913,23700,12394
"177","Reagan",10494,4,0,67384,3849,1,146,2.86,1115,470,342
"178","Real",4910,5,1,40834,3452,1,196,4.73,567,1142,611
"179","Reeves",52818,274,1,48990,15976,1,559,5.23,3580,2126,3530
"180","Refugio",10029,8,0,46883,6948,1,402,9.58,1532,1803,1250
"181","Roberts",1351,1,0,70705,854,1,31,1.01,198,207,63
"182","Robertson",47356,55,4,47016,17074,1,802,19.43,4000,3833,3534
"183","Rockwall",84134,207,1,105763,104915,0,3462,616.65,27938,14782,5035
"184","Runnels",21848,12,2,48650,10264,1,390,9.99,2379,2437,1765
"185","Rusk",94928,408,1,56036,54406,0,2774,57.71,12023,10299,8378
"186","Sabine",20578,1,0,43778,10542,1,906,22.05,1905,3634,1855
"187","Schleicher",7037,1,0,53286,2793,1,103,2.64,666,598,418
"188","Scurry",34115,11,0,56299,16703,1,734,18.69,4142,2936,2455
"189","Shackelford",4929,0,0,65095,3265,1,97,3.69,746,772,414
"190","Shelby",56282,218,3,39708,25274,1,1288,31.99,6563,5034,5408
"191","Sherman",3568,0,0,55473,3022,1,93,3.29,808,527,335
"192","Smith",368693,240,5,59538,232751,0,9542,227.59,56767,44176,30024
"193","Somervell",9169,4,0,67897,9128,1,410,45.53,2003,1991,858
"194","Starr",111051,92,6,32516,64633,1,7562,49.84,21096,8182,21005
"195","Stephens",17864,4,1,46658,9366,1,440,10.74,2056,2145,1592
"196","Sterling",2889,1,0,66790,1291,1,49,1.24,368,221,138
"197","Stonewall",1569,1,0,48267,1350,1,45,1.63,302,429,203
"198","Sutton",12352,6,0,63427,3776,1,192,2.84,890,817,494
"199","Swisher",8345,13,0,44388,7397,1,303,8.82,1824,1498,1523
"200","Tarrant",1749249,2797,60,70130,2102515,0,77793,2094.74,547284,270593,214456
"201","Taylor",194978,111,4,54465,138034,0,4831,143.64,34246,22913,19324
"202","Terry",23792,7,1,42953,12337,1,616,14.23,3358,2084,2664
"203","Throckmorton",2223,0,0,42746,1501,1,64,1.8,288,511,208
"204","Titus",64807,363,0,49924,32750,1,1735,79.63,9392,5384,5338
"205","Travis",718202,984,13,80690,1273954,0,38218,1034.4,270333,142810,137587
"206","Trinity",26091,70,3,43788,14651,1,805,21.03,2887,4323,2622
"207","Tyler",36170,62,0,48254,21672,1,1582,23.54,4174,5463,3727
"208","Upshur",72521,220,2,53078,41753,0,2171,67.43,9933,8651,6221
"209","Upton",7500,2,0,58908,3657,1,138,2.7,1046,615,504
"210","Uvalde",33865,48,1,44690,26741,1,1256,17.01,7169,5163,5294
"211","Victoria",133575,143,9,57344,92084,0,4420,98.39,23251,17210,13168
"212","Walker",92818,112,2,47519,72971,1,3356,86.54,10726,11106,15615
"213","Waller",72533,69,2,61822,55246,0,2707,84.15,13325,7204,7292
"214","Ward",28681,11,0,61396,11998,1,491,12.75,3460,1869,1487
"215","Washington",48901,143,0,59039,35882,1,1507,55.83,7664,9153,3803
"216","Webb",1124547,2629,3,52576,276652,0,11619,74.46,89662,30016,57820
"217","Wharton",42533,81,1,49901,41556,1,1870,38.01,10713,8169,6815
"218","Wheeler",16230,7,1,58544,5056,1,207,5.92,1284,1108,586
"219","Wichita",188004,81,4,51535,132230,0,4892,209.47,29791,22664,18379
"220","Wilbarger",24488,7,0,42570,12769,1,600,13.94,2820,2742,1902
"221","Willacy",33590,109,3,35821,21358,1,2349,37.48,5014,3457,6514
"222","Williamson",439344,516,7,92661,590551,0,18897,377.96,148936,80196,31889
"223","Wilson",76841,102,0,76905,51070,1,1787,53.4,12159,9335,4238
"224","Winkler",18521,13,0,64894,8010,1,416,8.45,2329,1059,1001
"225","Wise",86127,128,4,70468,69984,1,2799,65.38,17279,11526,5808
"226","Wood",110599,50,0,56945,45539,1,2140,65.04,8588,13802,6512
"227","Yoakum",16746,3,1,62636,8713,1,304,9.85,2849,1149,923
"228","Young",28954,12,0,52643,18010,1,684,20.29,4261,4282,2449
"229","Zapata",28569,21,0,36069,14179,1,1035,14.04,4687,2074,4267
"230","Zavala",16235,15,0,32538,11840,1,1314,9,3361,1922,3504
